Incident Date,State,City Or County,Address,# Killed,# Injured,#Total
15-Apr-21,District of Columbia,Washington,1800 block of West Virginia Ave NE,0,4,4
15-Apr-21,Indiana,Indianapolis,8951 Mirabel Rd,8,5,13
15-Apr-21,Illinois,Chicago,600 block of N Sawyer Ave,0,4,4
15-Apr-21,Florida,Pensacola,700 Truman Ave,0,6,6
13-Apr-21,Maryland,Baltimore,2300 block of Hoffman St,0,4,4
12-Apr-21,Illinois,Chicago,I-290 and S Damen Ave,1,3,4
11-Apr-21,Kansas,Wichita,200 block of N Battin St,1,3,4
11-Apr-21,Washington,Seattle,306 23rd Ave S,0,4,4
10-Apr-21,Tennessee,Memphis,4315 S 3rd St,1,3,4
10-Apr-21,Missouri,Koshkonong,US-63 and MO-F,1,3,4
10-Apr-21,Connecticut,Waterbury,36 Gasparri Ln,0,4,4
10-Apr-21,Michigan,Allendale,4926 Becker Dr,0,4,4
9-Apr-21,Texas,Fort Worth,2000 block of SW Loop 820,1,5,6
8-Apr-21,Texas,Bryan,350 Stone City Dr,1,5,6
7-Apr-21,South Carolina,Rock Hill,4456 Marshall Rd,7,0,7
7-Apr-21,Wisconsin,Milwaukee,2627 W Capitol Dr,2,3,5
7-Apr-21,Ohio,Dayton,Hoover Ave and Summit Square,0,4,4
6-Apr-21,District of Columbia,Washington,4100 block of Ames St NE,0,4,4
6-Apr-21,Michigan,Detroit,6100 block of Lodewyck St,1,3,4
5-Apr-21,Illinois,Chicago,6800 block of S Justine Ave,0,7,7
5-Apr-21,Maryland,Baltimore,300 block of N Eutaw St,0,5,5
4-Apr-21,Louisiana,Monroe,207 Sterlington Rd,0,6,6
4-Apr-21,Alabama,Birmingham,3969 14th Ave N,1,5,6
4-Apr-21,Texas,Beaumont,6035 S M L King Jr Pkwy,0,4,4
3-Apr-21,North Carolina,Wilmington,718 Kidder St,3,4,7
3-Apr-21,Alabama,Tuscaloosa,2314 4th St,0,5,5
3-Apr-21,Texas,Allen,1517 Pine Bluff Dr,6,0,6
3-Apr-21,Florida,Quincy,2114 Pat Thomas Parkway,0,7,7
31-Mar-21,California,Orange,202 West Lincoln Ave,4,2,6
31-Mar-21,District of Columbia,Washington,1300 block of Congress St SE,2,3,5
28-Mar-21,Ohio,Cleveland,5100 Pearl Rd,0,7,7
28-Mar-21,Illinois,Chicago,I-57 and W 127th St,0,4,4
28-Mar-21,Maryland,Essex,1601 Middleborough Rd,5,1,6
28-Mar-21,Texas,San Antonio,2011 Dollarhide Ave,0,4,4
27-Mar-21,Illinois,Chicago,500 block of N Leamington Ave,0,4,4
27-Mar-21,Mississippi,Yazoo City,Dr Martin Luther King Jr Dr and Shady Dr,0,6,6
27-Mar-21,Illinois,River Grove,Belmont Ave,1,3,4
26-Mar-21,Virginia,Virginia Beach,2000 block of Atlantic Ave,0,9,9
26-Mar-21,Illinois,Chicago,2515 W 79th St,1,7,8
26-Mar-21,Virginia,Norfolk,100 block of W Balview Ave,0,4,4
26-Mar-21,Tennessee,Memphis,500 block of Arrington Ave,3,2,5
26-Mar-21,Pennsylvania,Philadelphia,1080 N Delaware Ave,0,7,7
23-Mar-21,Alabama,Aliceville,1st Ave SW and 15th St,2,2,4
22-Mar-21,Colorado,Boulder,3600 Table Mesa Dr,10,1,11
22-Mar-21,Michigan,Detroit,13300 block of Davidson St,1,3,4
20-Mar-21,Texas,Houston,10266 North Fwy,0,5,5
20-Mar-21,Texas,Dallas,10333 Technology Blvd,1,7,8
20-Mar-21,Pennsylvania,Philadelphia,4234 Germantown Ave,1,5,6
18-Mar-21,Oregon,Gresham,750 E Powell Blvd,0,4,4
18-Mar-21,Louisiana,New Orleans,2400 Annette St,0,4,4
17-Mar-21,California,Stockton,Oro Ave and E Main St,0,5,5
16-Mar-21,Georgia,Acworth,6468 Hwy 92,8,1,9
16-Mar-21,Arizona,Phoenix,6215 W Elm St,4,1,5
15-Mar-21,Indiana,Indianapolis,2300 block of N Harding St,1,4,5
14-Mar-21,Florida,Tampa,10101 US-92,0,4,4
14-Mar-21,Illinois,Chicago,2600 block of E 77th St,0,4,4
14-Mar-21,Illinois,Chicago,6798 block of S South Chicago Ave,2,13,15
13-Mar-21,New York,Brooklyn,917 Flushing Ave,0,5,5
13-Mar-21,Florida,Orlando,200 block of Ring Rd,1,3,4
13-Mar-21,Indiana,Indianapolis,300 block of N Randolph St,4,1,5
13-Mar-21,Virginia,Richmond,5100 block of Richmond Henrico Tpke,2,4,6
12-Mar-21,North Carolina,Greensboro,100 block of Huffman St,1,3,4
12-Mar-21,Texas,Austin,7408 Cameron Rd,0,4,4
11-Mar-21,New Mexico,Ohkay Owingeh (Chamita),89 Rio Arriba Co Rd 56,1,3,4
11-Mar-21,Pennsylvania,Philadelphia,1400 block of N 76th St,2,2,4
10-Mar-21,Texas,Houston,6300 Ranchester Dr,3,1,4
8-Mar-21,Florida,Clearwater,US-19 ALT and Drew St,1,3,4
7-Mar-21,Mississippi,Edwards,607 Wallace Dr,0,4,4
6-Mar-21,California,Yuba City,Countryside Dr and Littlejohn Dr,2,3,5
6-Mar-21,North Carolina,Fayetteville,200 block of Shads Ford Blvd,1,4,5
5-Mar-21,California,Compton,600 block of N Long Beach Blvd,1,4,5
4-Mar-21,District of Columbia,Washington,3900 Martin Luther King Jr Ave SW,0,5,5
3-Mar-21,Pennsylvania,Erie,2105 Buffalo Rd,2,3,5
28-Feb-21,Ohio,Cincinnati,3600 block of Idlewild Ave,3,3,6
28-Feb-21,Indiana,East Chicago,1205 W Chicago Ave,0,4,4
28-Feb-21,Delaware,Dover,21 S Little Creek Rd,0,4,4
28-Feb-21,South Carolina,Mccormick,437 Talbert Rd,0,4,4
28-Feb-21,Louisiana,Shreveport,4914 Mansfield Rd,0,5,5
28-Feb-21,Texas,Houston,13484 Northwest Fwy,0,4,4
27-Feb-21,Mississippi,Columbus,1200 block of 7th St S,0,4,4
27-Feb-21,Mississippi,Pattison,Pattison-Tillman Rd,2,3,5
26-Feb-21,Texas,Houston,8708 Beechnut St,1,5,6
26-Feb-21,Louisiana,Baton Rouge,4700 block of Paige St,0,4,4
26-Feb-21,California,San Diego,841 S 45th St,1,3,4
21-Feb-21,Missouri,Kennett,1615 1st St,1,4,5
21-Feb-21,North Carolina,Teachey,Thomas Smith Ln and Bay Rd,0,4,4
20-Feb-21,Pennsylvania,Norristown (East Norriton),2912 Swede Rd,1,4,5
20-Feb-21,Colorado,Grand Junction,1000 block of Teller Ave,1,3,4
20-Feb-21,Illinois,Springfield,1100 block of S Grand Ave W,1,4,5
20-Feb-21,Louisiana,Metairie,6719 Airline Dr,3,2,5
18-Feb-21,Louisiana,Baton Rouge,2047 N Foster Dr,1,3,4
17-Feb-21,Pennsylvania,Philadelphia,5597 Old York Rd,0,8,8
16-Feb-21,Florida,Saint Petersburg,2968 Emerson Ave S,3,1,4
13-Feb-21,California,San Francisco,3rd St and Quesada Ave,0,6,6
13-Feb-21,Indiana,Indianapolis,3800 block of N Sherman Dr,0,4,4
13-Feb-21,California,Oakland,1000 block of Washington St,0,6,6
13-Feb-21,North Carolina,Cary,101 Reed St,1,3,4
11-Feb-21,Georgia,Columbus,2001 South Lumpkin Rd,1,4,5
10-Feb-21,Georgia,Atlanta,62 Harwell Rd NW,0,4,4
9-Feb-21,Texas,Houston,945 W Little York Rd,0,4,4
9-Feb-21,Minnesota,Buffalo,755 Crossroads Campus Dr,1,4,5
6-Feb-21,Tennessee,Murfreesboro,Ewing Blvd and West St,1,4,5
6-Feb-21,Louisiana,Thibodaux,1100 block of Tiger Dr,0,4,4
6-Feb-21,Illinois,Bloomingdale,250 W Schick Rd,1,5,6
6-Feb-21,Washington,Tacoma,3634 E McKinley Ave,1,3,4
5-Feb-21,Pennsylvania,Mohnton,360 E Wyomissing Ave,1,3,4
5-Feb-21,Mississippi,Benoit,1017 Lake Bolivar Rd,3,1,4
4-Feb-21,North Carolina,High Point,2912 W English Rd,2,3,5
3-Feb-21,Tennessee,Memphis,800 block of Olympic St,1,3,4
3-Feb-21,Colorado,Oak Creek,200 block of Wild Hogg Dr,3,2,5
2-Feb-21,Florida,Fort Lauderdale (Sunrise),10100 Reflections Blvd W,3,3,6
2-Feb-21,Oklahoma,Muskogee,903 Indiana St,6,1,7
1-Feb-21,New York,Rochester,400 block of Lyell Avenue,1,3,4
31-Jan-21,Illinois,Chicago,W Congress Pkwy and S Independence Blvd,0,4,4
30-Jan-21,New York,Albany,200 block of Central Ave,1,4,5
29-Jan-21,Pennsylvania,Mc Kees Rocks (Mckees Rocks),824 Island Ave,2,3,5
28-Jan-21,Michigan,Flint,1900 block of Tebo St,1,4,5
27-Jan-21,California,Santa Ana,1614 S Standard Ave,0,4,4
25-Jan-21,District of Columbia,Washington,1406 Good Hope Rd SE,1,4,5
24-Jan-21,Indiana,Indianapolis,3540 Adams St,5,1,6
24-Jan-21,Nevada,Las Vegas,W Wilson Ave and H St,0,5,5
22-Jan-21,Kentucky,Covington,217 E Martin Luther King Jr Blvd,0,5,5
21-Jan-21,California,Oakland,107th Ave and Apricot St,1,3,4
18-Jan-21,Pennsylvania,Tobyhanna,960 PA-196,0,4,4
17-Jan-21,Arizona,Phoenix,2340 W Northern Ave,0,5,5
17-Jan-21,Arizona,Phoenix,2236 E University Dr,1,6,7
16-Jan-21,Illinois,Kankakee,600 block of N Evergreen Ave,0,5,5
15-Jan-21,Pennsylvania,Philadelphia,5000 block of N 10th St,0,4,4
11-Jan-21,Florida,Miami,2491 NE 58th St,0,4,4
9-Jan-21,Illinois,Evanston,100 Asbury Ave,6,2,8
9-Jan-21,Texas,Houston,5828 Martin Luther King Blvd,1,3,4
7-Jan-21,District of Columbia,Washington,1300 block of Columbia Rd NW,0,5,5
